"FBK(LG³ªÁÖ) - RawData"
"Wavelength nm.","T%"
466.10,100.3571
466.20,100.3586
466.30,100.3601
466.40,100.3632
466.50,100.3662
466.60,100.3723
466.70,100.3693
466.80,100.3738
466.90,100.3738
467.00,100.3708
467.10,100.3632
467.20,100.3586
467.30,100.3571
467.40,100.3525
467.50,100.3448
467.60,100.3418
467.70,100.3372
467.80,100.3326
467.90,100.3296
468.00,100.3296
468.10,100.3265
468.20,100.3220
468.30,100.3250
468.40,100.3235
468.50,100.3220
468.60,100.3204
468.70,100.3235
468.80,100.3220
468.90,100.3235
469.00,100.3250
469.10,100.3296
469.20,100.3311
469.30,100.3311
469.40,100.3342
469.50,100.3357
469.60,100.3387
469.70,100.3387
469.80,100.3448
469.90,100.3510
470.00,100.3464
470.10,100.3448
470.20,100.3403
470.30,100.3357
470.40,100.3342
470.50,100.3265
470.60,100.3281
470.70,100.3220
470.80,100.3189
470.90,100.3204
471.00,100.3220
471.10,100.3189
471.20,100.3204
471.30,100.3296
471.40,100.3342
471.50,100.3296
471.60,100.3326
471.70,100.3342
471.80,100.3311
471.90,100.3250
472.00,100.3281
472.10,100.3342
472.20,100.3357
472.30,100.3342
472.40,100.3372
472.50,100.3403
472.60,100.3448
472.70,100.3433
472.80,100.3418
472.90,100.3464
473.00,100.3464
473.10,100.3387
473.20,100.3403
473.30,100.3357
473.40,100.3342
473.50,100.3265
473.60,100.3235
473.70,100.3189
473.80,100.3174
473.90,100.3159
474.00,100.3128
474.10,100.3143
474.20,100.3174
474.30,100.3159
474.40,100.3159
474.50,100.3159
474.60,100.3189
474.70,100.3159
474.80,100.3098
474.90,100.3128
475.00,100.3174
475.10,100.3189
475.20,100.3265
475.30,100.3342
475.40,100.3372
475.50,100.3387
475.60,100.3387
475.70,100.3357
475.80,100.3372
475.90,100.3418
476.00,100.3433
476.10,100.3479
476.20,100.3525
476.30,100.3571
476.40,100.3586
476.50,100.3601
476.60,100.3616
476.70,100.3601
476.80,100.3601
476.90,100.3555
477.00,100.3510
477.10,100.3433
477.20,100.3448
477.30,100.3372
477.40,100.3326
477.50,100.3357
477.60,100.3357
477.70,100.3342
477.80,100.3342
477.90,100.3326
478.00,100.3250
478.10,100.3220
478.20,100.3204
478.30,100.3220
478.40,100.3235
478.50,100.3296
478.60,100.3387
478.70,100.3418
478.80,100.3418
478.90,100.3433
479.00,100.3418
479.10,100.3403
479.20,100.3372
479.30,100.3372
479.40,100.3357
479.50,100.3311
479.60,100.3265
479.70,100.3220
479.80,100.3159
479.90,100.3067
480.00,100.2991
480.10,100.2975
480.20,100.2991
480.30,100.3021
480.40,100.2991
480.50,100.3098
480.60,100.3159
480.70,100.3174
480.80,100.3189
480.90,100.3250
481.00,100.3296
481.10,100.3311
481.20,100.3326
481.30,100.3296
481.40,100.3296
481.50,100.3296
481.60,100.3265
481.70,100.3250
481.80,100.3281
481.90,100.3342
482.00,100.3387
482.10,100.3387
482.20,100.3387
482.30,100.3418
482.40,100.3448
482.50,100.3342
482.60,100.3357
482.70,100.3357
482.80,100.3387
482.90,100.3372
483.00,100.3357
483.10,100.3387
483.20,100.3357
483.30,100.3342
483.40,100.3296
483.50,100.3265
483.60,100.3281
483.70,100.3265
483.80,100.3250
483.90,100.3189
484.00,100.3250
484.10,100.3311
484.20,100.3311
484.30,100.3311
484.40,100.3387
484.50,100.3387
484.60,100.3326
484.70,100.3296
484.80,100.3342
484.90,100.3357
485.00,100.3342
485.10,100.3357
485.20,100.3357
485.30,100.3357
485.40,100.3357
485.50,100.3403
485.60,100.3418
485.70,100.3403
485.80,100.3403
485.90,100.3387
486.00,100.3403
486.10,100.3342
486.20,100.3326
486.30,100.3357
486.40,100.3372
486.50,100.3387
486.60,100.3387
486.70,100.3372
486.80,100.3357
486.90,100.3387
487.00,100.3372
487.10,100.3357
487.20,100.3372
487.30,100.3372
487.40,100.3342
487.50,100.3342
487.60,100.3326
487.70,100.3311
487.80,100.3326
487.90,100.3357
488.00,100.3372
488.10,100.3387
488.20,100.3403
488.30,100.3418
488.40,100.3418
488.50,100.3403
488.60,100.3418
488.70,100.3418
488.80,100.3387
488.90,100.3342
489.00,100.3311
489.10,100.3296
489.20,100.3265
489.30,100.3281
489.40,100.3311
489.50,100.3342
489.60,100.3342
489.70,100.3296
489.80,100.3296
489.90,100.3281
490.00,100.3220
490.10,100.3220
490.20,100.3235
490.30,100.3235
490.40,100.3235
490.50,100.3250
490.60,100.3250
490.70,100.3265
490.80,100.3296
490.90,100.3296
491.00,100.3296
491.10,100.3265
491.20,100.3250
491.30,100.3204
491.40,100.3189
491.50,100.3189
491.60,100.3220
491.70,100.3235
491.80,100.3281
491.90,100.3281
492.00,100.3296
492.10,100.3311
492.20,100.3311
492.30,100.3250
492.40,100.3235
492.50,100.3204
492.60,100.3143
492.70,100.3082
492.80,100.3128
492.90,100.3174
493.00,100.3143
493.10,100.3143
493.20,100.3113
493.30,100.3098
493.40,100.3067
493.50,100.3067
493.60,100.3082
493.70,100.3128
493.80,100.3128
493.90,100.3159
494.00,100.3204
494.10,100.3159
494.20,100.3143
494.30,100.3143
494.40,100.3143
494.50,100.3082
494.60,100.3159
494.70,100.3189
494.80,100.3113
494.90,100.3098
495.00,100.3113
495.10,100.3098
495.20,100.3067
495.30,100.3113
495.40,100.3159
495.50,100.3174
495.60,100.3189
495.70,100.3250
495.80,100.3265
495.90,100.3311
496.00,100.3342
496.10,100.3326
496.20,100.3296
496.30,100.3250
496.40,100.3265
496.50,100.3235
496.60,100.3250
496.70,100.3265
496.80,100.3342
496.90,100.3372
497.00,100.3372
497.10,100.3418
497.20,100.3464
497.30,100.3479
497.40,100.3479
497.50,100.3479
497.60,100.3525
497.70,100.3510
497.80,100.3494
497.90,100.3479
498.00,100.3479
498.10,100.3433
498.20,100.3403
498.30,100.3342
498.40,100.3342
498.50,100.3311
498.60,100.3265
498.70,100.3220
498.80,100.3174
498.90,100.3128
499.00,100.3128
499.10,100.3159
499.20,100.3220
499.30,100.3281
499.40,100.3296
499.50,100.3311
499.60,100.3281
499.70,100.3235
499.80,100.3204
499.90,100.3174
500.00,100.3159
500.10,100.3143
500.20,100.3159
500.30,100.3159
500.40,100.3143
500.50,100.3159
500.60,100.3143
500.70,100.3098
500.80,100.3067
500.90,100.3021
501.00,100.2975
501.10,100.2975
501.20,100.2975
501.30,100.2930
501.40,100.2899
501.50,100.2960
501.60,100.2975
501.70,100.3006
501.80,100.3067
501.90,100.3128
502.00,100.3128
502.10,100.3128
502.20,100.3143
502.30,100.3128
502.40,100.3113
502.50,100.3113
502.60,100.3174
502.70,100.3174
502.80,100.3189
502.90,100.3159
503.00,100.3159
503.10,100.3143
503.20,100.3143
503.30,100.3143
503.40,100.3128
503.50,100.3143
503.60,100.3143
503.70,100.3113
503.80,100.3082
503.90,100.3067
504.00,100.3052
504.10,100.3006
504.20,100.3006
504.30,100.3052
504.40,100.3067
504.50,100.3098
504.60,100.3113
504.70,100.3098
504.80,100.3036
504.90,100.2914
505.00,100.2823
505.10,100.2808
505.20,100.2823
505.30,100.2838
505.40,100.2853
505.50,100.2884
505.60,100.2869
505.70,100.2853
505.80,100.2823
505.90,100.2838
506.00,100.2838
506.10,100.2838
506.20,100.2808
506.30,100.2716
506.40,100.2701
506.50,100.2686
506.60,100.2686
506.70,100.2716
506.80,100.2777
506.90,100.2777
507.00,100.2777
507.10,100.2762
507.20,100.2731
507.30,100.2716
507.40,100.2777
507.50,100.2808
507.60,100.2884
507.70,100.2960
507.80,100.3021
507.90,100.3052
508.00,100.3128
508.10,100.3189
508.20,100.3204
508.30,100.3235
508.40,100.3204
508.50,100.3128
508.60,100.3052
508.70,100.2975
508.80,100.2884
508.90,100.2869
509.00,100.2914
509.10,100.2914
509.20,100.2975
509.30,100.3021
509.40,100.2945
509.50,100.2899
509.60,100.2899
509.70,100.2884
509.80,100.2869
509.90,100.2899
510.00,100.2960
510.10,100.2960
510.20,100.2975
510.30,100.2960
510.40,100.2945
510.50,100.2884
510.60,100.2914
510.70,100.2930
510.80,100.2930
510.90,100.2945
511.00,100.2960
511.10,100.2945
511.20,100.2869
511.30,100.2869
511.40,100.2853
511.50,100.2823
511.60,100.2838
511.70,100.2869
