"LG³ªÁÖ2 - RawData"
"Wavelength nm.","T%"
569.60,77.9556
569.70,77.9648
569.80,77.9724
569.90,77.9816
570.00,77.9892
570.10,77.9938
570.20,77.9999
570.30,78.0075
570.40,78.0167
570.50,78.0273
570.60,78.0380
570.70,78.0502
570.80,78.0579
570.90,78.0640
571.00,78.0716
571.10,78.0807
571.20,78.0869
571.30,78.0930
571.40,78.0991
571.50,78.1082
571.60,78.1158
571.70,78.1204
571.80,78.1296
571.90,78.1357
572.00,78.1448
572.10,78.1479
572.20,78.1540
572.30,78.1647
572.40,78.1738
572.50,78.1799
572.60,78.1876
572.70,78.1967
572.80,78.2043
572.90,78.2104
573.00,78.2181
573.10,78.2257
573.20,78.2333
573.30,78.2379
573.40,78.2455
573.50,78.2532
573.60,78.2608
573.70,78.2684
573.80,78.2761
573.90,78.2852
574.00,78.2928
574.10,78.3035
574.20,78.3127
574.30,78.3234
