"MBK - RawData"
"Wavelength nm.","T%"
495.90,100.3494
496.00,100.3540
496.10,100.3540
496.20,100.3510
496.30,100.3464
496.40,100.3494
496.50,100.3448
496.60,100.3418
496.70,100.3464
496.80,100.3510
496.90,100.3525
497.00,100.3540
497.10,100.3616
497.20,100.3616
497.30,100.3647
497.40,100.3693
497.50,100.3693
497.60,100.3708
497.70,100.3693
497.80,100.3677
497.90,100.3632
498.00,100.3601
498.10,100.3571
498.20,100.3555
498.30,100.3540
498.40,100.3510
498.50,100.3479
498.60,100.3433
498.70,100.3403
498.80,100.3387
498.90,100.3342
499.00,100.3342
499.10,100.3357
499.20,100.3387
499.30,100.3403
499.40,100.3387
499.50,100.3433
499.60,100.3418
499.70,100.3418
499.80,100.3448
499.90,100.3448
500.00,100.3418
500.10,100.3433
500.20,100.3418
500.30,100.3387
500.40,100.3326
500.50,100.3326
500.60,100.3296
500.70,100.3265
500.80,100.3235
500.90,100.3204
501.00,100.3189
501.10,100.3174
501.20,100.3159
501.30,100.3143
501.40,100.3067
501.50,100.3082
501.60,100.3113
501.70,100.3143
501.80,100.3235
501.90,100.3296
502.00,100.3311
502.10,100.3265
502.20,100.3250
502.30,100.3204
502.40,100.3174
502.50,100.3189
502.60,100.3281
502.70,100.3326
502.80,100.3342
502.90,100.3342
503.00,100.3357
503.10,100.3311
503.20,100.3342
503.30,100.3403
503.40,100.3448
503.50,100.3479
503.60,100.3525
503.70,100.3525
503.80,100.3494
503.90,100.3448
504.00,100.3403
504.10,100.3357
504.20,100.3311
504.30,100.3281
504.40,100.3265
504.50,100.3311
504.60,100.3311
504.70,100.3296
504.80,100.3235
504.90,100.3204
505.00,100.3174
505.10,100.3159
505.20,100.3159
505.30,100.3143
505.40,100.3143
505.50,100.3098
505.60,100.3052
505.70,100.3006
505.80,100.3021
505.90,100.3052
506.00,100.3113
506.10,100.3128
506.20,100.3174
506.30,100.3174
506.40,100.3143
506.50,100.3082
506.60,100.3067
506.70,100.3021
506.80,100.2975
506.90,100.2914
507.00,100.2914
507.10,100.2930
507.20,100.2914
507.30,100.2930
507.40,100.3006
507.50,100.3036
507.60,100.3036
507.70,100.3067
507.80,100.3128
507.90,100.3143
508.00,100.3204
508.10,100.3250
508.20,100.3281
508.30,100.3281
508.40,100.3281
508.50,100.3235
508.60,100.3174
508.70,100.3113
508.80,100.3067
508.90,100.3021
509.00,100.3036
509.10,100.3052
509.20,100.3082
509.30,100.3113
509.40,100.3128
509.50,100.3143
509.60,100.3174
509.70,100.3189
509.80,100.3174
509.90,100.3174
510.00,100.3174
510.10,100.3128
510.20,100.3143
510.30,100.3143
510.40,100.3128
510.50,100.3082
510.60,100.3128
510.70,100.3128
510.80,100.3113
510.90,100.3098
511.00,100.3113
511.10,100.3098
511.20,100.3067
511.30,100.3113
511.40,100.3067
511.50,100.3021
511.60,100.3006
511.70,100.2991
511.80,100.2975
511.90,100.2975
512.00,100.3006
512.10,100.3052
512.20,100.3113
512.30,100.3128
512.40,100.3113
512.50,100.3128
512.60,100.3098
512.70,100.3082
512.80,100.3082
512.90,100.3052
513.00,100.2991
513.10,100.2914
513.20,100.2899
513.30,100.2869
513.40,100.2823
513.50,100.2808
513.60,100.2899
513.70,100.2960
513.80,100.2975
513.90,100.3006
514.00,100.3098
514.10,100.3143
514.20,100.3098
514.30,100.3098
514.40,100.3128
514.50,100.3113
514.60,100.3128
514.70,100.3174
514.80,100.3189
514.90,100.3159
515.00,100.3220
515.10,100.3204
515.20,100.3113
515.30,100.3052
515.40,100.3021
515.50,100.3021
515.60,100.2960
515.70,100.2914
515.80,100.2930
515.90,100.2884
516.00,100.2884
516.10,100.2884
516.20,100.2899
516.30,100.2899
516.40,100.2930
516.50,100.2975
516.60,100.2991
516.70,100.2960
516.80,100.2975
516.90,100.3006
517.00,100.3021
517.10,100.3067
517.20,100.3128
517.30,100.3189
517.40,100.3204
517.50,100.3159
517.60,100.3174
517.70,100.3143
517.80,100.3128
517.90,100.3113
518.00,100.3098
518.10,100.3098
518.20,100.3052
518.30,100.3067
518.40,100.3052
518.50,100.3067
518.60,100.3067
518.70,100.3098
518.80,100.3098
518.90,100.3082
519.00,100.3021
519.10,100.2991
519.20,100.2991
519.30,100.2945
519.40,100.2884
519.50,100.2899
519.60,100.2899
519.70,100.2899
519.80,100.2853
519.90,100.2914
520.00,100.2945
520.10,100.2930
520.20,100.2930
520.30,100.2960
520.40,100.2960
520.50,100.2930
520.60,100.2914
520.70,100.2914
520.80,100.2899
520.90,100.2930
521.00,100.2991
521.10,100.3006
521.20,100.3067
521.30,100.3082
521.40,100.3067
521.50,100.3067
521.60,100.3067
521.70,100.3067
521.80,100.3052
521.90,100.3082
522.00,100.3098
522.10,100.3052
522.20,100.3052
522.30,100.3067
522.40,100.3067
522.50,100.3052
522.60,100.2991
522.70,100.2960
522.80,100.2945
522.90,100.2899
523.00,100.2838
523.10,100.2869
523.20,100.2899
523.30,100.2899
523.40,100.2838
523.50,100.2823
523.60,100.2808
523.70,100.2747
523.80,100.2701
523.90,100.2655
524.00,100.2670
524.10,100.2655
524.20,100.2670
524.30,100.2701
524.40,100.2762
524.50,100.2762
524.60,100.2762
524.70,100.2762
524.80,100.2823
524.90,100.2808
525.00,100.2792
525.10,100.2792
525.20,100.2747
525.30,100.2701
525.40,100.2686
525.50,100.2686
525.60,100.2670
525.70,100.2747
525.80,100.2808
525.90,100.2838
526.00,100.2853
526.10,100.2853
526.20,100.2869
526.30,100.2853
526.40,100.2853
526.50,100.2823
526.60,100.2838
526.70,100.2838
526.80,100.2808
526.90,100.2838
527.00,100.2853
527.10,100.2808
527.20,100.2808
527.30,100.2823
527.40,100.2884
527.50,100.2869
527.60,100.2914
527.70,100.2930
527.80,100.2945
527.90,100.2884
528.00,100.2762
528.10,100.2716
528.20,100.2701
528.30,100.2731
528.40,100.2747
528.50,100.2838
528.60,100.2960
528.70,100.2975
528.80,100.2975
528.90,100.2945
529.00,100.2945
529.10,100.2930
529.20,100.2838
529.30,100.2823
529.40,100.2762
529.50,100.2777
529.60,100.2792
529.70,100.2853
529.80,100.2899
529.90,100.2914
530.00,100.2945
530.10,100.2914
530.20,100.2884
530.30,100.2869
530.40,100.2884
530.50,100.2914
530.60,100.2899
530.70,100.2899
530.80,100.2914
530.90,100.2930
531.00,100.2930
531.10,100.2930
531.20,100.2914
531.30,100.2899
531.40,100.2884
531.50,100.2808
531.60,100.2747
531.70,100.2731
531.80,100.2777
531.90,100.2808
532.00,100.2823
532.10,100.2869
532.20,100.2899
532.30,100.2884
532.40,100.2869
532.50,100.2823
532.60,100.2792
532.70,100.2777
532.80,100.2747
532.90,100.2716
533.00,100.2701
533.10,100.2701
533.20,100.2747
533.30,100.2777
533.40,100.2777
533.50,100.2792
533.60,100.2762
533.70,100.2731
533.80,100.2701
533.90,100.2670
534.00,100.2609
534.10,100.2609
534.20,100.2563
534.30,100.2533
534.40,100.2518
534.50,100.2533
534.60,100.2533
534.70,100.2533
534.80,100.2563
534.90,100.2563
535.00,100.2563
535.10,100.2655
535.20,100.2716
535.30,100.2853
535.40,100.2991
535.50,100.3098
535.60,100.3113
535.70,100.3113
535.80,100.3036
535.90,100.3006
536.00,100.2945
536.10,100.2945
536.20,100.2884
536.30,100.2930
536.40,100.2853
536.50,100.2747
536.60,100.2640
536.70,100.2502
536.80,100.2426
536.90,100.2335
537.00,100.2197
537.10,100.2075
537.20,100.2029
537.30,100.2045
537.40,100.2045
537.50,100.2075
537.60,100.2121
537.70,100.2197
537.80,100.2182
537.90,100.2151
538.00,100.2090
538.10,100.2121
538.20,100.2075
538.30,100.2060
538.40,100.2075
538.50,100.2121
538.60,100.2136
538.70,100.2151
538.80,100.2151
538.90,100.2136
539.00,100.2106
539.10,100.2090
539.20,100.2045
539.30,100.2060
539.40,100.2090
539.50,100.2121
539.60,100.2106
539.70,100.2121
539.80,100.2121
539.90,100.2075
540.00,100.2060
540.10,100.2029
540.20,100.1999
540.30,100.2045
540.40,100.2090
540.50,100.2106
540.60,100.2075
540.70,100.2045
540.80,100.2029
540.90,100.1953
541.00,100.1892
541.10,100.1892
541.20,100.1907
541.30,100.1923
541.40,100.1953
541.50,100.1984
541.60,100.1953
541.70,100.1953
541.80,100.1968
541.90,100.1953
542.00,100.1938
542.10,100.2014
542.20,100.2121
542.30,100.2167
542.40,100.2243
542.50,100.2319
542.60,100.2335
542.70,100.2319
542.80,100.2304
542.90,100.2319
543.00,100.2335
543.10,100.2350
543.20,100.2380
543.30,100.2350
543.40,100.2350
543.50,100.2304
543.60,100.2258
543.70,100.2167
543.80,100.2121
543.90,100.1984
544.00,100.1938
544.10,100.1877
544.20,100.1877
544.30,100.1877
544.40,100.1907
544.50,100.1953
544.60,100.1999
544.70,100.1999
544.80,100.2014
544.90,100.2029
545.00,100.1999
545.10,100.1938
545.20,100.1953
545.30,100.1953
545.40,100.1938
545.50,100.1953
545.60,100.1968
545.70,100.1968
545.80,100.1968
545.90,100.1984
546.00,100.2014
546.10,100.2029
546.20,100.2045
546.30,100.2029
546.40,100.2029
546.50,100.1984
546.60,100.1923
546.70,100.1907
546.80,100.1923
546.90,100.1877
547.00,100.1877
547.10,100.1938
