Batch Data Path,D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\QuantResults\VOC10.batch.bin
Analysis Time,2026-03-06 오후 5:30:33,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-03-06 오후 5:30:32,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-02.D,,Cal,6.851,,20079,,1493,,0.019
VOC10 ST-03.D,,Cal,6.851,,61683,,1930,,0.043
VOC10 ST-04.D,,Cal,6.851,,121212,,1644,,0.097
VOC10 ST-05.D,,Cal,6.851,,221760,,1335,,0.217
VOC10 ST-06.D,,Cal,6.851,,447831,,1480,,0.393
BK-.D,,Blank,,,,,2907,,ND
FBK(KD 26-03-04).D,,Blank,,,,,2266,,ND
FBK(RE 26-03-04).D,,Blank,,,,,2305,,ND
JR(26-03-05).D,,Sample,,,,,2473,,ND
RE-01.D,,Sample,6.854,,21254,,2529,,0.013
RE-02.D,,Sample,,,,,2080,,ND
RE-03.D,,Sample,6.851,,741890,,2626,,0.367
RE-04.D,,Sample,,,,,2294,,ND
RE-09.D,,Sample,,,,,2391,,ND
RE-10.D,,Sample,,,,,2256,,ND
RE-11.D,,Sample,6.854,,8950,,2420,,0.007
RE-12.D,,Sample,,,,,2469,,ND
KD-01.D,,Sample,,,,,2295,,ND
KD-02.D,,Sample,,,,,2643,,ND
KD-03.D,,Sample,6.855,,0,,2786,,ND
RE-03 R.D,,Sample,6.854,,149114,,2897,,0.342
MBK.D,,Blank,,,,,2409,,ND
-CCV-.D,,QC,6.855,,269137,,1829,,0.192
PCE
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.150,,2551,,1597,,0.015
VOC10 ST-02.D,,Cal,7.150,,4695,,1493,,0.022
VOC10 ST-03.D,,Cal,7.150,,14927,,1930,,0.044
VOC10 ST-04.D,,Cal,7.151,,29732,,1644,,0.093
VOC10 ST-05.D,,Cal,7.150,,56189,,1335,,0.208
VOC10 ST-06.D,,Cal,7.150,,121358,,1480,,0.398
BK-.D,,Blank,,,,,2907,,ND
FBK(KD 26-03-04).D,,Blank,,,,,2266,,ND
FBK(RE 26-03-04).D,,Blank,,,,,2305,,ND
JR(26-03-05).D,,Sample,,,,,2473,,ND
RE-01.D,,Sample,,,,,2529,,ND
RE-02.D,,Sample,,,,,2080,,ND
RE-03.D,,Sample,,,,,2626,,ND
RE-04.D,,Sample,,,,,2294,,ND
RE-09.D,,Sample,,,,,2391,,ND
RE-10.D,,Sample,,,,,2256,,ND
RE-11.D,,Sample,,,,,2420,,ND
RE-12.D,,Sample,,,,,2469,,ND
KD-01.D,,Sample,,,,,2295,,ND
KD-02.D,,Sample,,,,,2643,,ND
KD-03.D,,Sample,,,,,2786,,ND
RE-03 R.D,,Sample,,,,,2897,,ND
MBK.D,,Blank,,,,,2409,,ND
-CCV-.D,,QC,7.150,,72723,,1829,,0.197
Xylene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.936,,13126,,1597,,0.012
VOC10 ST-02.D,,Cal,7.937,,24477,,1493,,0.020
VOC10 ST-03.D,,Cal,7.937,,74994,,1930,,0.044
VOC10 ST-04.D,,Cal,7.937,,148530,,1644,,0.097
VOC10 ST-05.D,,Cal,7.936,,268777,,1335,,0.212
VOC10 ST-06.D,,Cal,7.937,,558954,,1480,,0.395
BK-.D,,Blank,0.000,,0,,2907,,ND
FBK(KD 26-03-04).D,,Blank,0.000,,0,,2266,,ND
FBK(RE 26-03-04).D,,Blank,0.000,,0,,2305,,ND
JR(26-03-05).D,,Sample,0.000,,0,,2473,,ND
RE-01.D,,Sample,0.000,,0,,2529,,ND
RE-02.D,,Sample,0.000,,0,,2080,,ND
RE-03.D,,Sample,7.934,,106353,,2626,,0.045
RE-04.D,,Sample,0.000,,0,,2294,,ND
RE-09.D,,Sample,0.000,,0,,2391,,ND
RE-10.D,,Sample,0.000,,0,,2256,,ND
RE-11.D,,Sample,0.000,,0,,2420,,ND
RE-12.D,,Sample,0.000,,0,,2469,,ND
KD-01.D,,Sample,0.000,,0,,2295,,ND
KD-02.D,,Sample,0.000,,0,,2643,,ND
KD-03.D,,Sample,0.000,,0,,2786,,ND
RE-03 R.D,,Sample,7.934,,19866,,2897,,0.051
MBK.D,,Blank,0.000,,0,,2409,,ND
-CCV-.D,,QC,7.937,,332611,,1829,,0.192
Calibration,,
"1,1-DCE",,

Cal. Path,Type,Level,Enable,,Conc.,,Response
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-01.D,Calibration,1,x,,0.010,,6007
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-02.D,Calibration,2,x,,0.020,,11138
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-03.D,Calibration,3,x,,0.050,,36707
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-04.D,Calibration,4,x,,0.100,,72409
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-05.D,Calibration,5,x,,0.200,,141725
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\-CCV-.D,QC,5,x,,0.200,,189152
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-06.D,Calibration,6,x,,0.400,,286865
Calibration,,
DCM,,

Cal. Path,Type,Level,Enable,,Conc.,,Response
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-01.D,Calibration,1,x,,0.010,,21578
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-02.D,Calibration,2,x,,0.020,,24448
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-03.D,Calibration,3,x,,0.050,,37627
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-04.D,Calibration,4,x,,0.100,,53485
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-05.D,Calibration,5,,,0.200,,80122
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\-CCV-.D,QC,5,,,0.200,,108126
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-06.D,Calibration,6,x,,0.400,,137750
Calibration,,
Chloroform,,

Cal. Path,Type,Level,Enable,,Conc.,,Response
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-01.D,Calibration,1,x,,0.010,,5794
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-02.D,Calibration,2,x,,0.020,,9730
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-03.D,Calibration,3,x,,0.050,,26930
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-04.D,Calibration,4,x,,0.100,,51872
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-05.D,Calibration,5,x,,0.200,,93851
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\-CCV-.D,QC,5,x,,0.200,,114426
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-06.D,Calibration,6,x,,0.400,,184560
Calibration,,
Carbon Chloride,,

Cal. Path,Type,Level,Enable,,Conc.,,Response
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-01.D,Calibration,1,x,,0.010,,4925
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-02.D,Calibration,2,x,,0.020,,9042
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-03.D,Calibration,3,x,,0.050,,29591
D:\DATA\2026년\3. 2026년 3월\VOC10(RE 3.4 KD 3.4 JR 3.5)\VOC10 ST-04.D,Calibration,4,x,,0.100,,58812
